"","V","I"
"1240",32.22,9.012
"1241",32.228,9.013
"1242",32.23,9.009
"1243",32.222,9.008
"1244",32.234,9.014
"1245",32.23,9.009
"1246",32.222,9.008
"1247",32.243,9.015
"1248",32.232,9.008
"1249",32.235,9.007
"1250",32.234,9.013
"1251",32.239,9.009
"1252",32.239,9.007
"1253",32.236,9.007
"1254",32.242,9.012
"1255",32.242,9.008
"1256",32.232,9.005
"1257",32.241,9.013
"1258",32.239,9.006
"1259",32.236,9.006
"1260",32.244,9.012
"1261",32.231,9.005
"1262",32.236,9.005
"1263",32.231,9.008
"1264",32.239,9.007
"1265",32.236,9.005
"1266",32.229,9.003
"1267",32.243,9.009
"1268",32.239,9.004
"1269",32.23,9.002
"1270",32.249,9.01
"1271",32.242,9.002
"1272",32.242,9.002
"1273",32.244,9.008
"1274",32.241,9.003
"1275",32.249,9.001
"1276",32.243,9.002
"1277",32.253,9.006
"1278",32.252,9.002
"1279",32.244,9
"1280",32.258,9.007
"1281",32.254,9.002
"1282",32.252,8.999
"1283",32.263,9.007
"1284",32.257,9
"1285",32.259,8.999
"1286",32.255,9.003
"1287",32.259,9.002
"1288",32.268,8.998
"1289",32.257,8.998
"1290",32.268,9.003
"1291",32.263,8.999
"1292",32.257,8.998
"1293",32.273,9.003
"1294",32.266,8.997
"1295",32.263,8.997
"1296",32.269,9.003
"1297",32.263,8.997
"1298",32.267,8.996
"1299",32.265,8.998
"1300",32.271,9
"1301",32.276,8.996
